index,image_file,body_yaw,body_pitch,right_arm_pitch,right_arm_roll,left_arm_pitch,left_arm_roll,face_pitch,face_yaw,face_roll,eye_pitch,right_eye_yaw,left_eye_yaw,eyelid,mouth
0,0.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0
